product_name,product_review,similarity_scores
Double Galaxy,can fullon hazy peach color with frothy offwhite head with very good retention aroma has overripe tropical fruits juicy hops but also some more classic herbal notes taste has a biscuity malt base even slightly nutty with the hops leaning towards the herbal and grassy side aftertaste lingers with grapefruit rind bitterness medium body with medium minus carbonation extremely drinkable dipa with no hint of the 8 abv its not a juicebomb like other hazy ipas these days but its very hoppy and well put together,0.7666728261511065
Barrel-Aged Silhouette,750 ml bottle into snifter 2018 vintage bottle 4949 pours opaque dark brownblack color with a small fairly dense khaki head with poor retention that reduces to a minimal spotty lace cap that lingers minimal spotty lacing on the glass with a fair amount of streaming carbonation aromas of big milkdark chocolate cocoa coffee caramel molasses brown sugar toffee bourbon toasted oak roasted nuts biscuit and darkbrown breadcrust with lighter notes of vanilla coconut licorice raisin prune cherry fig date smoke charcoal leather tobacco herbal grass pepper and yeastroasttoasted earthiness damn nice aromas with great balance and complexity of darkroastbready malts moderate bourbon barrels and light fruity yeastearthy hop notes with big strength taste of huge milkdark chocolate cocoa coffee caramel molasses brown sugar toffee bourbon toasted oak roasted nuts biscuit and darkbrown breadcrust with lighter notes of vanilla coconut licorice raisin prune cherry fig date smoke charcoal leather tobacco herbal grass pepper and yeastroasttoasted earthiness very mild herbal grass roast charred bitterness and bourbonoak tannin spiciness on the finish lingering notes of milkdark chocolate cocoa coffee caramel molasses brown sugar toffee bourbon toasted oak roasted nuts biscuit darkbrown breadcrust vanilla coconut licorice dark fruit smoke charcoal leather tobacco herbal grass pepper and yeastroasttoasted earthiness on the finish for a while fantastic complexity robustness and balance of darkroastbready malts moderate bourbon barrels and light fruity yeastearthy hop flavors with a nice roasted bittersweet and bourbonoak spiciness balance with no cloying acrid astringent flavors after the finish lightly increasing dryness from lingering bitterness and bourbonoak spiciness lightmedium carbonation and very full body with a very smooth creamysilkyvelvetybready and lightly slickstickychalkytannic mouthfeel that is fantastic minimal warming alcohol for 10 with no lingering barrel booze after the finish overall this is a fantastic barrel aged russian imperial stout all around fantastic complexity robustness and balance of darkroastbready malts moderate bourbon barrels and light fruity yeastearthy hop flavors very smooth and dangerously easy to sip on for the big abv with the minimally bittertannicdrying finish fantastic soft feel not as much barrel as i expected but adequate fantastic rich malt complexity solid barrel presenceintegration restrained fruity yeast and mild earthy hops not overly sweetheavy from lingering dryness a highly enjoyable offering and impressive spot on style example,0.7655788910788968
A Deal With The Devil,052015  love the huge cognac aromas raisin and plum a slight maple subtle hoppy aromas sweet honey boozy caramel dank hops and more plum and some tobacco too chewy mouthfeel with flavors of raisin tobacco dark chocolate and cognac lingering,0.7647410439037076
Darkness,750 ml bottle into snifter bottled on 9252019 pours dense pitch black color with a 12 finger dense and rocky tan head with amazing retention that reduces to a large cap that lasts thick foamy lacing clings on the glass with a fair amount of streaming carbonation amazing appearance aromas of big dark chocolate cocoa coffee caramel brown sugar molasses toffee raisin prune cherry fig date apricot orange grapefruit citrus peelrind wood peppercorn pine roasted nuts toasted biscuit and dark breadcrust with lighter notes of licorice smoke charcoal leather tobacco herbal floral grass and yeastroasttoasted earthiness mild increasing booze as it warms but not overwhelming damn nice aromas with great balance and complexity of darkblackroastbready malts citrusearthy hops and fruity yeast notes with big strength taste of huge dark chocolate cocoa coffee caramel brown sugar molasses toffee raisin prune cherry fig date apricot orange grapefruit citrus peelrind wood peppercorn pine roasted nuts toasted biscuit and dark breadcrust with lighter notes of licorice smoke charcoal leather tobacco herbal floral grass and yeastroasttoasted earthiness lightmoderate pine citrus peelrind herbal floral woody grassy peppery roast charred bitterness on the finish lingering notes of dark chocolate cocoa coffee caramel brown sugar molasses toffee raisin prune cherry fig date apricot orange grapefruit citrus peelrind wood peppercorn pine roasted nuts toasted biscuit dark breadcrust licorice smoke charcoal leather tobacco herbal floral grass and yeastroasttoasted earthiness on the finish for a while amazing complexity robustness and balance of darkblackroastbready malts citrusearthy hops and fruity yeast flavors with an awesome hopchar bittersweet balance and no minimal acridastringent flavors after the finish medium carbonation and fairly full body with a very smooth creamysilkyvelvetybready and fairly stickychalkyresinousrindy balanced mouthfeel that is great mild increasing warmth of 12 after the finish overall this is an amazing russian imperial stout all around amazing complexity robustness and balance of darkblackroastbready malts citrusearthy hops and fruity yeast flavors very smooth and dangerously easy to sip on for the huge abv with the modestly bittercharredresinousdrying finish nicely soft and not overly bittercharred definitely needs a bit of age for the freshness perfectly balanced between super rich darkblackroasted malts citrusearthy hops and fruity yeast mild residual sweetness with lingering hopchar bitter dryness a highly enjoyable offering and amazing spot on style example as expected reminds me of old raspy a lot on the fresh hop intensity,0.7644784434032549
Fuzzy,on tap at beavertown extravaganza aroma is funky and floral with unripe peach and apricot and hay notes taste is tart fruity and lactic with some fruit pit bitterness,0.7637490721360355
Citra,022015  pineapple and mango fosho with mild pine dank aromas fruity juicy nice hoppy tang tropical fruits on the palate sweet wee bitter clean finish though,0.763555327416648
Juice Machine,the best of treehouse imho tastes like combination of king julius and very green complex flavor with magnum columbus amarillo citra and galaxy hops flavors of mango orange papaya and passion fruit with soft mouthfeel and very limited bitterness,0.7633363042910428
Gggreennn!,another incredible outstanding ne style ipa from tree house canned date 73019 juicy delicious hazy balanced soft dank just excellent pours a great looking very hazy orangeyellow color with some nice fluffy white head and fairly thick spotty lingering lacing smells deeply of ripe fruity hops mainly mango grapefruit pineapple lemon orange guava passionfruit and melon also malt vanilla floral and herbal hops in the background taste follows the nose great balance between the mildly bitter hops and sweeter malt backbone perfect amount of dankness smooth sticky mild coats the palate perfect amount of carbonation one of my top 3 beers from this amazing brewery,0.7608323709097947
Consecration,taster at brewery dark amber with small ring of head soft fruity aroma brett taste is smooth and sweet mildly tart subdued but complex this is what sours should be simple and clean approachable,0.7576928941512999
Atrial Rubicite,batch from june of 2017 pours a dark rich redpurple with some carbonation smell is sweet pungent raspberry and earthy taste is tart very refreshing unabashedly raspberry dances the line between a fruity juice and a sour beer smooth and easy to drink really enjoyed it,0.7569787198792413
Aurelian Lure,hazy pale color almost no head aroma has fresh unripe fruits like apricot quince and mirabelles also quite spicy with some saffron and curry taste is tart and fruity with unripe apricot complete with skin really mineral on the finish light body medium carbonation really dry a great refreshing and really elegant sour,0.7569729492413109
Saison Bernice,tasted from bottle classic farmhouse saison pours a hazy gold fruity and funky aroma crisp light refreshing mouthfeel flavors of citrus fruit farmhouse funk and some grassy earthy flavors excellent,0.7568520104551988
Trappistes Rochefort 10,pours a very deep dark mahogany almost black coloration with a large foamy head smells of bready caramel malt toffee and dark fruits with just a hint of chocolate licorice and estery spice taste is a complex balance of rich bready caramel malt toffee brown sugar chocolate dark fruits raisin fig plum with lighter notes of chocolate licorice and just a hint of vanilla and clove finishes bittersweet with a lightmedium bitterness and some caramel malt dark fruits licorice and clove lingering in the aftertaste full mouthfeel with a rich body and lightmedium carbonation,0.7558155792516693
Double Dry Hopped Congress Street,very hazy pale color with offwhite head aroma is dank herbal really green and hoppy taste follows really hoppy and herbal quite harsh not very bitter but there is a hop burn medium body and carbonation really nice hop profile but at 2 weeks its quite harsh on the palate,0.7555805550765218
Zombie Dust,very nice pale ale from a famous brewery that’s new to me tried this one on tap at 3 floyds looks great slightly darker goldenyelloworange color with a little white head and nice rings of lingering lacing very nice aromas  lots of juicy grapefruit mango pineapple tangerine lemon and passion fruit fruity hops along with some floral and piney hops nuttiness caramel vanilla and malt taste follows the nose and there’s a great balance between the hoppy bitterness and smooth sweeter malt backbone good hit of bitter hoppiness at the finish smooth mild ever so slightly sticky mouthfeel good amount of carbonation really a great beer  not a 45 by any means but truly very enjoyable,0.7552739679699689
Society & Solitude #5,122013  big pineapple and orange nose with some grapefruit lingering large hop body with resinous notes dominating and fruity grapefruit in the back tangy bitterness on finish,0.7547557839729304
Bodhi,pours a clear deep goldpale amber coloration with a medium fizzy head smells of biscuity malt with hoppy accents of citrus and light tropical fruit grapefruit tangerine mango and a hint of grass taste is a great balance of biscuity lightly sweet malt and bright hoppy slightly zesty citrus and tropical fruit notes of grapefruit tangerine lime mango and and papaya there is a light resinous quality to this as well with a hint of grass and pine finishes with a medium bitterness and some pine lingering in the aftertaste smooth mouthfeel with a medium body and mediumlively carbonation this seems like somewhere inbetween an old school and west coast ipa but in a really good way great balance of malts and hops sweetness and bitterness not a hint of booze or bubble gum to this which is impressive given the 85 abv this actually drinks surpringly easy,0.7540899749751047
Fort Point Pale Ale,pours a hazy peach coloration with a small fizzy head smell is initially quite lovely with hoppy juicy tropicalcitrus fruit notes of mango and passion fruit with a hint of pineapple and tangerine but takes on a light cat piss note as it sits taste is very bright and hoppy dominated sweet juicy tropical fruit notes of mango passion fruit and pineapple and with zesty citrus notes of grapefruit and tangerine theres a light dankness and a hint of pine to this as well almost no malt presence detectable though finishes with a light bitterness and very mild hop burn soft mouthfeel with a medium body and carbonation this is the quintessential ne style pale ale and i would say that it has an amazing juicy hoppiness mouthfeel and depth of flavour for a pale ale but is this even a pale ale at 66 abv nonetheless its still an excellent beer at a relatively low abv the balance of sweet tropical fruit zesty citrus fruit and danknesspine really is outstanding here,0.7504223954837306
Atrial Rubicite,092014  incredible raspberry and cherry aromas with some oaky yeast coming through tart acidic fruity flavorful body wee thin of a body but its superb overall,0.7498204279961792
Oude Geuze Golden Blend,tasted from bottle pours a cloudy orangish gold with thick white head aroma is sour fruity champagne taste is moderately sour but not overly so nice fruity tart flavor apples lemon yeast flavors crisp and tart on the palate im not a huge sour fan but this is very well done,0.7493663254081058
West Ashley,bottle shared thanks to maakun hazy pale golden with a white head notes of funk minerals  salt baking soda  peaches light tart and very complex medium body medium carbonation and a tart floral and fruity aftertaste,0.7482973734641057
Scaled Way Up,on draft at trilliumcanton appearance is basically orange juice both in color and opaqueness tropical fruit and great aromatic aroma fruity pineapple mango peach and juicy good mouthfeel with a bit of a dry mild bitter hop bite at the end exceptional,0.7482344384119634
Samuel Adams Utopias,8000th review 8 ounce pour from a 24 ounce bottle 2017 vintage bottling bottle 14819 pours still slightly hazy ruby reddishorangecopper color no head or lacing but tons of alcohol legs on the glass fantastic appearance aromas of big raisin plum prune cherry fig date apricot berries red grape port sherry rum brandy cognac bourbon coconut toasted oak honey caramel maple syrup brown sugar toffee vanilla biscuit roasted nuts and brown breadcrust with lighter notes of licorice molasses chocolate cocoa oak char leather tobacco cinnamon peppercorn and yeastoaktoasted earthiness increasing booze in the aromas but not too overwhelming damn nice aromas with great balance and complexity of darkbreadylight roasted malts fruity yeast and multiple barrel notes with great strength taste of huge raisin plum prune cherry fig date apricot berries red grape port sherry rum brandy cognac bourbon coconut toasted oak honey caramel maple syrup brown sugar toffee vanilla biscuit roasted nuts and brown breadcrust with lighter notes of licorice molasses chocolate cocoa oak char leather tobacco cinnamon peppercorn and yeastoaktoasted earthiness taste of huge raisin plum prune cherry fig date apricot berries red grape port sherry rum brandy cognac bourbon coconut toasted oak honey caramel maple syrup brown sugar toffee vanilla biscuit roasted nuts and brown breadcrust with lighter notes of licorice molasses chocolate cocoa oak char leather tobacco cinnamon peppercorn and yeastoaktoasted earthiness light oak char bitterness and barrel tanninalcohol spiciness on the finish lingering notes of dark fruits cherry apricot berries red grape port sherry rum brandy bourbon coconut toasted oak honey caramel maple syrup brown sugar toffee vanilla biscuit roasted nuts brown breadcrust licorice molasses chocolate cocoa oak char leather tobacco cinnamon peppercorn and yeastoaktoasted earthiness on the finish for a while amazing complexity robustness and balance of darkbreadylight roasted malts fruity yeast and multiple barrel flavors with a great maltoak spiciness balance and no cloying sweetness after the finish lightly increasing dryness from lingering barrel tannin and spicy alcohol fairly full body with a smooth creamyslick and lightly syrupytannic mouthfeel that is fantastic lightmoderate increasing warmth of 28 some lingering barrel booze after the finish but not overwhelming overall this is an amazing barrel aged strong ale all around incredible complexity robustness and balance of darkbreadylight roasted malts fruity yeast and multiple barrel flavors very smooth and dangerously easy to sip on slowly for the enormous abv as expected this is like a cross between beer and all above mentioned spirits mind blowing amounts of complexity and everything is perfectly integrated with all the different barrels a highly amazing offering and world class beer for what it was a truly unique experience,0.7474766839886757
Pliny The Younger,tasted from draft checking off a whale pours a partially cloudy gold aroma is piney medicinal floral moderate to heavily bitter flavors of pine resin citrus herbal and earthy complex and goes down super smooth awesome imperial ipa,0.7474566780151772
Sang Noir,enjoyed after a nice rest in the cellar complex melange of aromas and taste  sour mash oak vinous grapes dark fruit puckering green apple and candied fruit,0.7466505010700628
Double Sunshine,pours a lightly hazy orange in color with a finger of tight white head aroma has grapefruit orange piney and herbal notes taste hits the same notes as the aroma adding some tropical notes intensely hoppy yet super smooth medium bodied with moderate carbonation very tasty and drinkable i’d absolutely seek this out again,0.7464136886242714
Pugachev Royale,dark brown color with a ring of brownish foam aroma is boozy with whiskey rum and brandy notes sweet malt some dark fruits earthy and woody notes bitter roasted notes on the finish medium to light body with soft carbonation complex flavors but a bit light bodied,0.7462122348735479
Hunahpu's Imperial Stout - Double Barrel Aged,tasted from bottle pours black with beige head tasted against regular 16 huna and 17 bourbon ba huna aroma of cinnamon rum almost a little nutty some fruity notes and apple moderate to heavily sweet with mild bitterness lots of cinnamon caramel toffee some chocolate and finishes with a moderate chili burn you do get some rum barrel sweetness and just a hint of brandy more intense and complex than the huna and bourbon huna excellent,0.7460392152977046
Aaron,on nose is oak vanilla caramel leather bourbon and very subdued booze palate is massive sugary dark fruits plum cherry fig spice raisin brown sugar roasted almonds marshmallow caramel vanilla bourbon the complexity is rich in this one and im probably not able to pick out all the fruity and spiced notes because this is a style i dont drink often regardless it is clear that the base beer integrates beautifully with bourbon character and the overall result is immensely complex and smooth  an unbelievably delicious offering,0.745648666805929
Oude Geuze Golden Blend,this beer looks about perfectgolden with a big white head that leaves lots of lacing smell is complex and fruity with just a hint of earthiness taste is fruity and sour a hugely flavorful beer and quite sour,0.7454893246915933
Mocha Wednesday,750 ml bottle into snifter bottled on 1272017 pours nearly opaque dark brownblack color with a 1 finger fairly dense and fluffy khaki head with decent retention that reduces to a thin ring of lace light spotty lacing clings on the glass with a fair amount of streaming carbonation aromas of big nutty dark roasted coffee milkdark chocolate cocoa caramel toffee vanilla cream fudge brown sugar maple syrup almond bourbon toasted oak and dark bread with lighter notes of coconut marshmallow molasses licorice smoke dark fruit pepper and roastoak earthiness damn nice aromas with great balance and complexity of darkroasted malt coffee and bourbon barrel notes with great strength mild increasing booze in the aromas as it warms but not overwhelming taste of huge nutty dark roasted coffee milkdark chocolate cocoa caramel toffee vanilla cream fudge brown sugar maple syrup almond bourbon toasted oak and dark bread with lighter notes of coconut marshmallow molasses licorice smoke dark fruit pepper and roastoak earthiness lightmoderate bourbonoak spiciness and light roastchar bitterness on the finish lingering notes of nutty coffee milkdark chocolate cocoa caramel toffee vanilla cream fudge brown sugar maple syrup almond bourbon toasted oak dark bread coconut marshmallow light licoricemolassesdark fruit and roastoak earthiness on the finish for a while incredible complexity robustness and balance of darkroasted malt coffee and bourbon barrel flavors with a great roasted bittersweet and bourbonoak spiciness balance with zero cloying sweetness after the finish lightly increasing dryness from bourbonoak spiciness and roast bitterness medium carbonation and very full body with a smooth creamysilky and lightly slickstickychalkytannic balanced mouthfeel that is great lightly increasing warmth of 199 with mild lingering barrel booziness after the finish overall this is a fantastic barrel aged imperial stout all around outstanding complexity robustness and balance of darkroasted malt coffee and bourbon barrel flavors very smooth and dangerously easy to sip on slowly for the huge abv bruery stouts always seem to have a class of their own on the flavor profile not as deeply roasty or charred on blackroasted malts like some others but still extremely rich and complex outstanding barrel integration and balance without feeling overly boozy tannic or drying very similar to the base beer with big levels of fruitynutty coffee complexity a highly enjoyable offering,0.7451251630096148
Zombie Dust,bottled 621 pours a clear amber with a thin white head pungent hop aroma and not much else bitter and floral hop notes with caramel malt notes on the taste hops mellow out and become more floral and grassy as it warms evolves more than a lot of pale ales and more complex than the nose would lead you to believe medium bodied and soft carbonation definitely a great beer,0.7438532162161084
Lou Pepe - Kriek,2012 bottled 2014 pour to snifter purple fine pinkish head small head and slight lacing complex nose combines cherry with funk taste primarily sour cherry that is well balanced not too sour or funky very dry and high carbonation,0.7436779360288216
Zombie Dust,on tap carmel in color with a small head and decent lacing smells of citrus and pine pretty hoppy but good malt backbone pine citrus and malt all come together to make a great beer thats flavorful without being bitter,0.7430542832641274
Gueuze 100% Lambic,750ml bottle 11817 bottle date appearance clear golden color with a pillowy white head and decent lacing aroma strong funky brettanomyces character up front lead by hay and horse blanket a touch off grass then the acidity pops up in the background with apple cider vinegar notes taste starts with a light crackery malt sweetness before a bracing acidic tartness and bitterness lemon peel and light brett funk bready maltiness and brett notes emerge retronasally even some blue cheese mouthfeel fairly light bodied with a high carbonation finish dry and surprisingly bitter with a lingering acidic lemon tartness funky blue cheese is there retronasally overall an amazingly complex beer brettanomyces dominates the aroma and the flavor profile shows off the bracingly tart acidity a surprising amount of bitterness here and the lemon peel like acidic bitternesstartness counterbalances throughout very crisp,0.742972296213569
West Ashley,really hazy golden color with a bit of white foam aroma has lots of unripe apricots and lemony funk taste starts with tart unripe apricots stonefruit skin acidic fruit juice really dry finish light body really dry medium carbonation overall its a great fruity sour very refreshing and easy drinking,0.742791136695618
§ucaba,2018 version purchased at the brewery ruby browndark brown pour at 59 degrees tight beige head good cap retention medium heavy lacing turns to soapy spots medium legs sweet caramel malt jam preserves and a scant amount of bourbon on the nose flavors follow nose  sweet caramel malt jam bourbon with layers of bitter earthy hops oak toffee tobacco leather chocolate dried fruit marmalade some barrel notes with bourbon brown sugar aftertaste smooth lite velvety tongue coating moderate minus carbonation dry finish medium almost full body some warmth from 125 overall great balance between sweet maltmolasses and bitter hops medium fruity linger dangerously easy drinking for abv an absolutely fantastic babw,0.741957854964022
Fuzzy Baby Ducks,cloudy amber appearance with nice head that desipates quickly aroma is hoppy with a hint of citrus taste is more of a balanced hoppy citrus with some bitterness,0.7418393508701844
Framboos,hazy reddish rust color with a bit of pinkish foam aroma has fresh raspberry with pits raspberry preserve juice and some lambic funk taste is sour dry fruity astringent with berry pit bitterness on the finish medium minus body with medium carbonation really fruit forward tart easy drinking,0.7416362998555052
Hunahpu's Imperial Stout - Bourbon Barrel-Aged,tasted from bottle 17 version black with minimal beige head aroma is a little smokey roasted bourbon cured meats bourbon flavors of bourbon toffee caramel cocoa cinnamon slight chili complex and delicious,0.741315431117081
Haze,murky pale gold beer with a big fluffy head the nose is filled with orange grapefruit peach and floral hops beer feels light and creamy the taste is lightly sweet and complex there is grapefruit orange peach and floral components finishes with a nice pithy bitterness,0.7409417513327454
Abrasive Ale,barely hazy golden beer with a sticky head the aroma is yeasty malty fruity and piney the taste is sweet grassy citrusy and super bitter nice medium mouthfeel with great carbonation glad to have finally tried this and a welcome break from the many neipas i’ve been drinking,0.7409072852135462
Genealogy Of Morals - Bourbon Barrel-Aged,absolutely beautiful beer  dark pour with a frothy mocha head that hangs around for a while and leaves sheets of lace on the glass aromas are bourbon soaked chocolate molasses and roasty malt opens up on palate with a huge blast of vanilla and delicate caramel character sweet milky chocolate toffee candied wheat mellow earthy coffee roast molasses and dark roasted malt there is an assertive and slightly spicy bourbon flavor but its so well integrated into the rest of this robust and complex beer that it manages to be simultaneously bold and restrained mouthfeel is medium and oh sooo lush  not quite sludgy but just perfect for this brew overall im blown away this might be the best ba stout ive tasted,0.7404208934089165
Ghost In The Machine,very nice crisp hoppy ipa but a little disappointing considering the high ratings here bottled date 92319 so i know it was fresh pours a yellowish hazy color with a thin cap of white head and some spotty lingering lacing aromas of grapefruit pineapple and lemon with some malt floral hops and vanilla taste follows the nose balanced and tasty and just a little juicy smooth mild slightly sticky mouthfeel and good carbonation wellhidden higher abv tasty just didnt impress me a lot,0.7387499608385332
West Ashley,cloudy straw appearance with slight white head mild sour fruity aroma taste is a moderate tart sour fruity that has little harshness at the end a very pleasant sour,0.7386342884639089
Permanent Funeral,5 ounce pour at 3 floyds in munster nice dark golden orange colour with fruity aroma  grapefruit hoppy resinous a little floral the taste starts more with a sweet malt followed by big citrus notes then pushing into piney flavours full bodied mouthfeel to a well balanced finish  pleasant but not over the top bitterness for a 100 ibu beer fantastic,0.7386230605133465
Black Tuesday,huge beer 2014 version pours jet black with minimal head aroma is lots of raisin and dates caramel and bourbon hides ridiculous high abv very well only a slight hint of booziness lots of dark fruits caramel molasses almost a little cherry cocoa awesome complex huge beer,0.7378991566041474
Fou' Foune,tasted from bottle pours a hazy orange with nice head fruity aroma with citrus notes flavors of apricot orange and some sour funk crisp and easily crushable not overly sour incredible,0.7376658475912471
Art,pours gold  a slight bit of haze with a puffy 3 finger head that leaves big rings of lace aromas of earthy brett lemon white grape hay and oak  very complex taste is spot on  light oaked malts balanced with a hint of dry white grape green apple lemongrass white pepper and very slight bitterness and sourness  very easy to drink,0.7371189845848134
Samuel Adams Utopias,2017 vintage gifted to me by mattflippin an clear amberbrown color complex nose with vanilla cherries caramel toffee whiskey and faint bready malt on entry i tasted the bready munich malt and this wsa quickly accompanied by stone fruit vanilla oak whiskey and caramel ever so slightly tart which melded perfectly with the overall taste faint floral ,0.7371113661189654
Doubleganger,can one off from de bierkoning canned on 17 july so 13 days ago pours a milkyjuicy yellow colour very cloudy and a small whiteish almost yellow head with little retention aromas very dank with light citrus notes oats and lactose retronasl the citrus is a bit more present still with lots of dank hops and some sweetness flavour is light sweet and moderate bitter with light fruity sourness medium bodied faily low carbonation light hopburn long finish quite dry and moderate bitter,0.737076650387079
Nelson,grunt fill from albertsons bright golden pour milky fluffy head fades fast fruity flowery aroma mild dank notes more funk and fruit in the taste drying bitterness sweet and bitter,0.7370708365686336
Hopslam Ale,from bine and vine in san diego  canned jan 1619 pours a nice golden caramel colour with 1 and 12 fingers tight off white head aroma of caramel malthoney then citrusgrapefruit slightly floral hoppy pine notes taste is at once sweet and hoppy  subtle bitterness builds to a perfect crescendo of grapefruit orange pine with honey sweetness in back mouthfeel is full smooth slightly syrupy  leaves with beautiful balance of bittersweet and just a touch of the 10 booziness,0.7367518714892614
Emerald Grouper,16oz can date stamped 092419 hazy copper colored ale with a a foamy beige head that slowly fades into a thick foam rich hoppy aroma with plenty of caramel malt tropical fruit and citrus nice sweet start on the palate with caramel grain and honey followed by some more bitter flavors of pine orange  grapefruit zest along with tropical fruit notes of mango and guava  great complexity full body resinous ample carbonation alcohol is well concealed bittersweet finish exceptional beer i might have to get another can if i come across it again,0.7366561462508514
Black & Wild,pours dark brown with reddish hue and one finger head aroma is cherries blackberries some chocolate vinegar and oak taste is an explosion of dark berries and cherry skins tastes super tart and acidic like cherry and blackberry skins chocolate isnt prominent but adds complexity i get hints of citrus and vanilla as it warms mouth feel is medium to full tart berries dominate here the oak provides character and and dry finish unique and complex beer,0.7351402937586257
Peche 'n Brett,cloudy straw appearance with white head that dissipates quickly nice fruity aroma fruity taste with a little dry bitterness and plenty of carbination,0.7349256573145677
JJJuliusss,beautiful orangeheavy juicyashell beer with deep haze and almost no head nothing but sweet orange and dank grass on the nose not complex or layered but gloriously juicy taste follows with sweet citrus juice dank greens pine resin and a tropical stone fruit finish nice herbal notes as well a little thin but silky smooth,0.7347931408492469
Julius,beautiful orangeheavy juicyashell beer with deep haze and almost no head nothing but sweet orange and dank grass on the nose not complex or layered but gloriously juicy taste follows with sweet citrus juice dank greens pine resin and a tropical stone fruit finish nice herbal notes as well a little thin but silky smooth,0.7347931408492469
Swish,022015  i get why this is hyped  its quite good but it isnt my favorite bissell theres a lot of onion fruity hops piney aromas sweet tangy well hopped flavors with some caramel too a touch bitter earthy finish with some melon hanging around back,0.7331809096716493
Mosaic Dry Hopped Fort Point,nice cloudy strawamber color with white head aroma ma is a very pleasant citrus hoppy taste is a very smooth and pleasant combination of citrus and hops,0.7331612577044254
Second Fiddle,canned 429 light gold slightly hazy smells juicy some hops taste is juicy hoppy citrus pineapple peach medium mouthfeel with a dry puckering finish slight bitterness almost perfectly balanced and totally crushable i gotta get me some more of this stuff,0.7327041527325125
Double Nelson,can poured a hazy amber color ale with a large white head with good retention and some lacing aroma of fresh hoppy undertones with some dry hops notes and some fruity hops notes is enjoyable taste is a mix of floral undertones with some dry hops notes some light fruity ester and some light vinous notes body is pretty full with good carbonation really enjoyable but i actually had more expectation i wonder if the single version isn’t better,0.732162057321021
Fou' Foune,people differ in opinion but i loved the fruity tart bitter and slightly funky flavor,0.7321030348699875
Society & Solitude #6,on tap at the bench pours a hazy yellowish orange with very little head lots of lacing great nose of berries and fruits pure mosaic hops the taste is fruity pebbles pineapple guava mango and pineapple medium body with a slightly dry mouthfeel and some alcohol heat,0.7320731559193296
Double Nelson,grassy and dank and just slightly bitter  but complementary sweet juicy notes make this a tremendous pleasure nose is complex and lightly floral dank sweet beautiful hazy pour with nice lacing carbonation is just right  quite pleasant,0.7320580208284013
